source_name,trt_name,trt_n_downsample,trt_hsurf_bits,replicate_uuid,sum leaf count,sum defmut
vanilla-big,Sben1.1x/Gneu,200000,64,8972abb3-bbfd-8063-96c7-3e92aa0f32db,8,8
vanilla-big,Sben1.1x/Gdel1.1x,200000,0,0069ad39-6de5-8b7a-9cf6-3206f83b9372,59,20
vanilla-big,Sben1.1x/Gneu,2000000,0,8972abb3-bbfd-8063-96c7-3e92aa0f32db,725,61
vanilla-big,Sben1.1x/Gneu,2000000,0,ad386b87-ed0d-858f-9e58-8c6542303f70,8015,62
vanilla-big,Sben1.1x/Gneu,200000,64,ad386b87-ed0d-858f-9e58-8c6542303f70,61,61
vanilla-big,Sben1.1x/Gneu,200000,64,e86726db-1b73-869e-9274-59bca767b1d1,21,21
vanilla-big,Sben1.1x/Gdel1.1x,200000,0,50a8d3f5-c51e-80dc-a0b2-a0bca9963b31,385,16
vanilla-big,Sben1.1x/Gdel1.1x,2000000,0,803eeaa6-b866-88c9-a38f-8d696b90d4d9,1495,69
vanilla-big,Sben1.1x/Gneu,200000,0,ad386b87-ed0d-858f-9e58-8c6542303f70,799,18
vanilla-big,Sben1.1x/Gneu,200000,0,e86726db-1b73-869e-9274-59bca767b1d1,213,23
vanilla-big,Sben1.1x/Gdel1.1x,2000000,0,50a8d3f5-c51e-80dc-a0b2-a0bca9963b31,5506,57
vanilla-big,Sben1.1x/Gdel1.1x,200000,64,0069ad39-6de5-8b7a-9cf6-3206f83b9372,16,16
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,b2138f47-760a-870b-871e-9c8cd9168072,54586,1660
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,cb422b5d-9a74-87e8-9654-9bc12d44b453,3765,1270
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,2b2da60e-53a7-8888-9058-ce1b89fb83e3,4805,1298
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,a2dd9970-e3a6-8941-b6d4-45b9c54ac506,61784,1797
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,c81cab91-5dfe-83d3-a088-110240579728,4863,1270
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,c8b6eec3-f562-8a2a-a720-f23d4acf1d94,418,258
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,c8b6eec3-f562-8a2a-a720-f23d4acf1d94,6531,1327
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,cb422b5d-9a74-87e8-9654-9bc12d44b453,352,235
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,e4e7222c-effa-8916-a47c-67ca54f5bbbc,4189,467
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,e4e7222c-effa-8916-a47c-67ca54f5bbbc,41996,1779
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,2000000,0,15f36e76-1fe6-861d-bf0c-b171c07713df,4499,1295
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,488c314a-7dbc-88f3-aa36-beada5f1bb05,79730,1807
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,c81cab91-5dfe-83d3-a088-110240579728,420,237
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,488c314a-7dbc-88f3-aa36-beada5f1bb05,7866,516
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,5a8d2488-6801-88f0-99cd-89a6fda9b042,5437,509
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,a2dd9970-e3a6-8941-b6d4-45b9c54ac506,6218,499
vanilla-big-1.3x,Sben1.3x/Gneu,200000,0,b2138f47-760a-870b-871e-9c8cd9168072,5385,429
vanilla-big-1.3x,Sben1.3x/Gneu,2000000,0,5a8d2488-6801-88f0-99cd-89a6fda9b042,54376,1751
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,15f36e76-1fe6-861d-bf0c-b171c07713df,371,242
vanilla-big-1.3x,Sben1.3x/Gdel1.3x,200000,0,2b2da60e-53a7-8888-9058-ce1b89fb83e3,485,272
